ERROR 2019-05-10 21:09:58,495 basehttp 154 "GET /xadmin/auth/group/ HTTP/1.1" 500 59
INFO 2019-05-10 21:10:01,393 basehttp 154 "GET /xadmin/auth/group/add/ HTTP/1.1" 200 18057
INFO 2019-05-10 21:10:01,608 basehttp 154 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 304 0
INFO 2019-05-10 21:10:01,691 basehttp 154 "GET /static/xadmin/css/themes/bootstrap-xadmin.css HTTP/1.1" 304 0
INFO 2019-05-10 21:10:01,695 basehttp 154 "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 304 0
INFO 2019-05-10 21:10:01,711 basehttp 154 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 304 0
INFO 2019-05-10 21:10:01,720 basehttp 154 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 304 0
INFO 2019-05-10 21:10:01,734 basehttp 154 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 304 0
INFO 2019-05-10 21:10:01,823 basehttp 154 "GET /static/xadmin/css/xadmin.widget.select-transfer.css HTTP/1.1" 200 2317
INFO 2019-05-10 21:10:01,863 basehttp 154 "GET /static/xadmin/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2019-05-10 21:10:01,903 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2019-05-10 21:10:01,907 basehttp 154 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.core.js HTTP/1.1" 304 0
INFO 2019-05-10 21:10:01,939 basehttp 154 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.widget.js HTTP/1.1" 304 0
INFO 2019-05-10 21:10:01,942 basehttp 154 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.mouse.js HTTP/1.1" 304 0
INFO 2019-05-10 21:10:01,965 basehttp 154 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.sortable.js HTTP/1.1" 304 0
INFO 2019-05-10 21:10:01,974 basehttp 154 "GET /static/xadmin/vendor/bootstrap/js/bootstrap.js HTTP/1.1" 304 0
INFO 2019-05-10 21:10:02,054 basehttp 154 "GET /static/xadmin/js/xadmin.main.js HTTP/1.1" 304 0
INFO 2019-05-10 21:10:02,085 basehttp 154 "GET /static/xadmin/js/xadmin.responsive.js HTTP/1.1" 304 0
INFO 2019-05-10 21:10:02,103 basehttp 154 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.effect.js HTTP/1.1" 304 0
INFO 2019-05-10 21:10:02,105 basehttp 154 "GET /static/xadmin/js/xadmin.plugin.themes.js HTTP/1.1" 304 0
INFO 2019-05-10 21:10:02,125 basehttp 154 "GET /static/xadmin/js/xadmin.widget.select-transfer.js HTTP/1.1" 200 8214
INFO 2019-05-10 21:10:02,130 basehttp 154 "GET /static/xadmin/js/xadmin.plugin.quick-form.js HTTP/1.1" 200 7546
INFO 2019-05-10 21:10:02,175 basehttp 154 "GET /static/xadmin/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 304 0
INFO 2019-05-10 21:10:07,510 basehttp 154 "GET /xadmin/auth/group/ HTTP/1.1" 200 21257
INFO 2019-05-10 21:10:26,183 basehttp 154 "GET /xadmin/auth/group/ HTTP/1.1" 200 21257
INFO 2019-05-10 21:10:26,512 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2019-05-10 21:10:40,253 basehttp 154 "GET /xadmin/auth/user/ HTTP/1.1" 200 31286
INFO 2019-05-10 21:10:40,504 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2019-05-10 21:10:40,543 basehttp 154 "GET /static/xadmin/js/xadmin.plugin.actions.js HTTP/1.1" 200 4198
INFO 2019-05-10 21:10:44,271 basehttp 154 "GET /xadmin/auth/permission/ HTTP/1.1" 200 86852
ERROR 2019-05-10 21:10:44,274 basehttp 154 "GET /xadmin/auth/permission/ HTTP/1.1" 500 59
INFO 2019-05-10 21:10:45,362 basehttp 154 "GET /xadmin/auth/permission/ HTTP/1.1" 200 86852
INFO 2019-05-10 21:10:45,607 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2019-05-10 21:10:52,249 basehttp 154 "GET /xadmin/xadmin/log/ HTTP/1.1" 200 27853
INFO 2019-05-10 21:10:52,621 basehttp 154 "GET /static/xadmin/vendor/bootstrap-datepicker/css/datepicker.css HTTP/1.1" 200 10225
INFO 2019-05-10 21:10:52,628 basehttp 154 "GET /static/xadmin/vendor/select2/select2.css HTTP/1.1" 200 19226
INFO 2019-05-10 21:10:52,653 basehttp 154 "GET /static/xadmin/vendor/selectize/selectize.css HTTP/1.1" 200 8425
INFO 2019-05-10 21:10:52,656 basehttp 154 "GET /static/xadmin/vendor/selectize/selectize.bootstrap3.css HTTP/1.1" 200 10602
INFO 2019-05-10 21:10:52,681 basehttp 154 "GET /static/xadmin/vendor/bootstrap-datepicker/js/bootstrap-datepicker.js HTTP/1.1" 200 32656
INFO 2019-05-10 21:10:52,703 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2019-05-10 21:10:52,711 basehttp 154 "GET /static/xadmin/js/xadmin.widget.datetime.js HTTP/1.1" 200 2979
INFO 2019-05-10 21:10:52,763 basehttp 154 "GET /static/xadmin/vendor/selectize/selectize.js HTTP/1.1" 200 98602
INFO 2019-05-10 21:10:52,777 basehttp 154 "GET /static/xadmin/vendor/select2/select2.js HTTP/1.1" 200 104906
INFO 2019-05-10 21:10:52,788 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_zh-Hans.js HTTP/1.1" 200 694
INFO 2019-05-10 21:10:52,855 basehttp 154 "GET /static/xadmin/js/xadmin.widget.select.js HTTP/1.1" 200 1344
INFO 2019-05-10 21:14:16,594 basehttp 154 "GET /xadmin/xadmin/log/ HTTP/1.1" 200 27853
